epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
96,8246.88,0.44752,0.26473,1.09166,0.00843,0.98543,0.98702,0.9936,0.95744,0.292,0.16766,0.98629,0.00361,0.00409107,0.00409107,0.00409107
97,8332.49,0.4457,0.26864,1.08336,0.00795,0.98493,0.99027,0.99432,0.95743,0.28996,0.16589,0.99191,0.00311,0.0040714,0.0040714,0.0040714
98,8418.21,0.4468,0.26747,1.09806,0.00817,0.98809,0.99027,0.99428,0.959,0.28985,0.16369,0.99206,0.00344,0.00405174,0.00405174,0.00405174
99,8503.82,0.44517,0.26696,1.09616,0.00781,0.98449,0.98788,0.99392,0.95816,0.28768,0.16419,0.98977,0.00354,0.00403207,0.00403207,0.00403207
100,8589.48,0.44424,0.26254,1.08653,0.00824,0.97983,0.99249,0.99372,0.95784,0.28599,0.16311,0.99313,0.00285,0.00401241,0.00401241,0.00401241
101,8675.05,0.43746,0.26416,1.08817,0.00806,0.98588,0.99125,0.99427,0.95623,0.29343,0.16742,0.99868,0.00285,0.00399274,0.00399274,0.00399274
102,8760.56,0.4419,0.26749,1.08714,0.0072,0.98801,0.98735,0.9942,0.9581,0.28846,0.16485,0.99191,0.00295,0.00397307,0.00397307,0.00397307
103,8845.92,0.44164,0.26361,1.09317,0.00822,0.98355,0.9886,0.99425,0.96066,0.28769,0.16352,0.99187,0.00323,0.00395341,0.00395341,0.00395341
104,8931.71,0.43548,0.26149,1.0787,0.00714,0.98655,0.9893,0.99437,0.96074,0.28572,0.16097,0.99075,0.00341,0.00393374,0.00393374,0.00393374
105,9017.52,0.43269,0.25721,1.07794,0.00747,0.98923,0.98293,0.99432,0.95901,0.28704,0.16302,0.99313,0.00295,0.00391408,0.00391408,0.00391408
106,9103.25,0.43736,0.25927,1.08357,0.00751,0.98077,0.99239,0.99418,0.95692,0.28751,0.16149,0.98126,0.00295,0.00389441,0.00389441,0.00389441
107,9188.82,0.44155,0.26024,1.07534,0.00827,0.97793,0.99121,0.99388,0.95811,0.28731,0.16447,0.98849,0.00299,0.00387475,0.00387475,0.00387475
108,9274.54,0.43728,0.25699,1.07732,0.00816,0.98636,0.98463,0.99408,0.95907,0.28721,0.1615,0.9873,0.00264,0.00385508,0.00385508,0.00385508
109,9360.57,0.4461,0.26825,1.08236,0.00816,0.9856,0.98444,0.99368,0.95822,0.2864,0.16606,0.98929,0.00297,0.00383541,0.00383541,0.00383541
110,9446.1,0.43657,0.25908,1.07503,0.008,0.97858,0.99222,0.99407,0.95955,0.28553,0.16221,0.98957,0.00281,0.00381575,0.00381575,0.00381575
111,9531.68,0.43885,0.26272,1.08872,0.00769,0.9839,0.98833,0.9941,0.96026,0.29066,0.16542,0.99224,0.00328,0.00379608,0.00379608,0.00379608
112,9617.53,0.42476,0.25446,1.06727,0.00724,0.98502,0.99027,0.99402,0.96019,0.28531,0.16232,0.98576,0.00301,0.00377642,0.00377642,0.00377642
113,9703.2,0.43008,0.25923,1.0674,0.00753,0.98392,0.99222,0.99386,0.95929,0.28371,0.16065,0.97924,0.00309,0.00375675,0.00375675,0.00375675
114,9788.82,0.43038,0.25563,1.0698,0.00681,0.98785,0.9893,0.9943,0.9604,0.27998,0.15914,0.97955,0.00307,0.00373709,0.00373709,0.00373709
115,9874.35,0.43871,0.26122,1.07799,0.00742,0.98734,0.98648,0.99426,0.95942,0.283,0.16176,0.97987,0.00291,0.00371742,0.00371742,0.00371742
116,9960.06,0.44427,0.2633,1.08414,0.00896,0.98571,0.9893,0.99387,0.95918,0.28882,0.16421,0.98685,0.00329,0.00369775,0.00369775,0.00369775
117,10045.7,0.43416,0.25693,1.07,0.00728,0.98277,0.99319,0.99396,0.96063,0.28319,0.16063,0.98206,0.00274,0.00367809,0.00367809,0.00367809
118,10131.4,0.43426,0.25587,1.07316,0.00745,0.98524,0.99125,0.99413,0.9613,0.2801,0.159,0.98184,0.0027,0.00365842,0.00365842,0.00365842
119,10217.3,0.42718,0.25411,1.06187,0.00706,0.98361,0.9925,0.99428,0.95939,0.28008,0.15902,0.97965,0.00348,0.00363876,0.00363876,0.00363876
120,10302.8,0.43191,0.25621,1.07362,0.00741,0.98551,0.9927,0.99425,0.95788,0.29068,0.16258,0.99103,0.00351,0.00361909,0.00361909,0.00361909
121,10388.5,0.42664,0.25401,1.06923,0.00725,0.9845,0.98867,0.99421,0.95732,0.28464,0.15824,0.9852,0.00282,0.00359943,0.00359943,0.00359943
122,10474,0.43081,0.25948,1.07114,0.00724,0.9855,0.99157,0.994,0.95904,0.28482,0.15922,0.98474,0.00234,0.00357976,0.00357976,0.00357976
123,10559.5,0.43311,0.25359,1.07665,0.0079,0.98635,0.98833,0.99396,0.95911,0.28207,0.15755,0.98116,0.00262,0.00356009,0.00356009,0.00356009
124,10645.1,0.43102,0.25306,1.07282,0.00831,0.98005,0.99514,0.99389,0.95927,0.28238,0.15817,0.9811,0.00282,0.00354043,0.00354043,0.00354043
125,10730.9,0.42953,0.25309,1.0807,0.00789,0.9834,0.99222,0.99374,0.95947,0.28042,0.15893,0.98426,0.00241,0.00352076,0.00352076,0.00352076
126,10816.5,0.43432,0.25817,1.07552,0.00784,0.98356,0.98928,0.99381,0.95892,0.28458,0.15865,0.98482,0.00292,0.0035011,0.0035011,0.0035011
127,10902.2,0.41904,0.24771,1.05164,0.00697,0.98147,0.99319,0.99379,0.96143,0.27895,0.15633,0.97974,0.0029,0.00348143,0.00348143,0.00348143
128,10988.2,0.42367,0.24694,1.06831,0.00724,0.98643,0.98986,0.99406,0.96136,0.27669,0.15638,0.98058,0.00291,0.00346177,0.00346177,0.00346177
129,11073.8,0.43042,0.25811,1.06713,0.00737,0.98266,0.99203,0.99372,0.96104,0.27857,0.15792,0.98256,0.00286,0.0034421,0.0034421,0.0034421
