epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1421.01,0.1366,0.1189,0.75957,0.99408,0.99311,0.99494,0.84357,0.64405,0.3519,0.851,0.000245979,0.000245979,0.000245979
82,1438.18,0.14197,0.12029,0.76013,0.99408,0.99297,0.99488,0.84116,0.64252,0.34532,0.84989,0.000244876,0.000244876,0.000244876
83,1455.33,0.13867,0.12035,0.75952,0.99408,0.99309,0.99488,0.84794,0.64297,0.34888,0.85277,0.000243773,0.000243773,0.000243773
84,1472.41,0.13752,0.11825,0.75891,0.99408,0.99339,0.99488,0.84141,0.66191,0.35691,0.85657,0.000242671,0.000242671,0.000242671
85,1489.66,0.13579,0.11745,0.75963,0.99408,0.9937,0.99488,0.83883,0.64119,0.34391,0.85234,0.000241568,0.000241568,0.000241568
86,1506.85,0.137,0.11659,0.75974,0.99268,0.99408,0.99488,0.8469,0.65574,0.34384,0.85461,0.000240465,0.000240465,0.000240465
87,1524.07,0.13551,0.118,0.76025,0.99364,0.99408,0.99494,0.84904,0.64153,0.33538,0.85134,0.000239362,0.000239362,0.000239362
88,1541.29,0.1343,0.11556,0.75875,0.99406,0.99408,0.99488,0.84531,0.64375,0.34378,0.85503,0.000238259,0.000238259,0.000238259
89,1558.47,0.13369,0.11647,0.75869,0.99408,0.99335,0.99494,0.84793,0.64542,0.33442,0.85577,0.000237156,0.000237156,0.000237156
90,1575.64,0.13082,0.11505,0.75869,0.99408,0.99358,0.99494,0.84284,0.63109,0.33585,0.85062,0.000236053,0.000236053,0.000236053
91,1592.81,0.12879,0.11222,0.75848,0.99408,0.99332,0.99488,0.8512,0.63735,0.33822,0.85238,0.00023495,0.00023495,0.00023495
92,1610.07,0.12866,0.11319,0.75888,0.99408,0.99345,0.99494,0.84457,0.64267,0.34239,0.8515,0.000233847,0.000233847,0.000233847
93,1627.23,0.12721,0.11142,0.75888,0.99408,0.99298,0.99488,0.85479,0.63947,0.34558,0.85286,0.000232745,0.000232745,0.000232745
94,1644.29,0.13067,0.11368,0.75905,0.99408,0.99355,0.99494,0.84052,0.63845,0.35091,0.85027,0.000231642,0.000231642,0.000231642
95,1661.41,0.12826,0.11185,0.75862,0.99372,0.99408,0.99488,0.845,0.64555,0.34464,0.85268,0.000230539,0.000230539,0.000230539
96,1678.55,0.12845,0.11148,0.75808,0.99363,0.99408,0.99488,0.84445,0.6375,0.33947,0.85353,0.000229436,0.000229436,0.000229436
97,1695.73,0.12743,0.1104,0.7591,0.99408,0.99407,0.99488,0.84897,0.64409,0.3458,0.85176,0.000228333,0.000228333,0.000228333
98,1712.83,0.12904,0.11136,0.75879,0.99321,0.99408,0.99488,0.84665,0.64615,0.34658,0.85439,0.00022723,0.00022723,0.00022723
99,1729.92,0.12688,0.11199,0.75779,0.99196,0.99408,0.99488,0.84562,0.63928,0.35466,0.85277,0.000226127,0.000226127,0.000226127
100,1746.95,0.12724,0.1096,0.75853,0.9937,0.99408,0.99482,0.85053,0.64427,0.3437,0.85139,0.000225024,0.000225024,0.000225024
101,1764.1,0.12517,0.10954,0.75917,0.99408,0.99356,0.99476,0.8464,0.63858,0.34669,0.84925,0.000223921,0.000223921,0.000223921
102,1781.17,0.12498,0.10911,0.75841,0.99408,0.99364,0.99476,0.85065,0.64227,0.34103,0.85058,0.000222818,0.000222818,0.000222818
103,1798.16,0.12408,0.10656,0.75898,0.99408,0.99372,0.99476,0.84046,0.6461,0.34133,0.85199,0.000221716,0.000221716,0.000221716
104,1815.24,0.12372,0.10803,0.75773,0.99408,0.99377,0.99482,0.84664,0.64702,0.3376,0.85264,0.000220613,0.000220613,0.000220613
105,1832.37,0.12432,0.10877,0.75819,0.99408,0.99393,0.99476,0.84246,0.64463,0.34585,0.85229,0.00021951,0.00021951,0.00021951
106,1849.59,0.12394,0.10751,0.75826,0.99408,0.99374,0.99482,0.85074,0.64343,0.3431,0.85412,0.000218407,0.000218407,0.000218407
107,1866.69,0.12458,0.10842,0.75908,0.99408,0.99363,0.99488,0.84635,0.65199,0.34098,0.85404,0.000217304,0.000217304,0.000217304
108,1883.89,0.12566,0.10732,0.7597,0.99408,0.99317,0.99488,0.84778,0.64644,0.34113,0.85328,0.000216201,0.000216201,0.000216201
109,1901.01,0.12478,0.10764,0.75872,0.99407,0.99262,0.99482,0.84622,0.64774,0.33824,0.85416,0.000215098,0.000215098,0.000215098
110,1918.17,0.12036,0.10502,0.75876,0.99407,0.99213,0.99488,0.84208,0.64793,0.3499,0.85342,0.000213995,0.000213995,0.000213995
111,1935.26,0.11918,0.1038,0.75827,0.99408,0.99379,0.99488,0.84421,0.64239,0.34734,0.85301,0.000212892,0.000212892,0.000212892
112,1952.44,0.12089,0.10426,0.75849,0.99408,0.99349,0.99488,0.84678,0.64497,0.34165,0.85249,0.000211789,0.000211789,0.000211789
113,1969.6,0.12183,0.1058,0.75851,0.99408,0.99295,0.99488,0.84542,0.64078,0.34886,0.84952,0.000210687,0.000210687,0.000210687
114,1986.78,0.11877,0.10321,0.75878,0.99408,0.99355,0.99494,0.84572,0.64209,0.34731,0.85331,0.000209584,0.000209584,0.000209584
115,2003.97,0.11621,0.10307,0.75788,0.99408,0.99348,0.99488,0.84875,0.64581,0.34584,0.85373,0.000208481,0.000208481,0.000208481
116,2021.2,0.11978,0.10404,0.75889,0.99408,0.99361,0.99488,0.84755,0.63272,0.34156,0.85033,0.000207378,0.000207378,0.000207378
117,2038.32,0.12169,0.10406,0.75937,0.99408,0.9932,0.99488,0.84844,0.64563,0.33542,0.85022,0.000206275,0.000206275,0.000206275
118,2055.49,0.11584,0.10083,0.75787,0.99408,0.99345,0.99476,0.84931,0.63654,0.34078,0.84781,0.000205172,0.000205172,0.000205172
119,2072.67,0.11639,0.10161,0.75752,0.99408,0.99358,0.99476,0.8368,0.64758,0.34596,0.85288,0.000204069,0.000204069,0.000204069
120,2089.87,0.11606,0.10237,0.7584,0.99408,0.99352,0.99476,0.84967,0.64246,0.34092,0.85044,0.000202966,0.000202966,0.000202966
121,2107.01,0.11424,0.09934,0.75779,0.99408,0.99363,0.99482,0.84387,0.63542,0.34608,0.84816,0.000201863,0.000201863,0.000201863
122,2124.21,0.1155,0.09866,0.75836,0.99408,0.99363,0.99476,0.84727,0.64599,0.36071,0.85195,0.000200761,0.000200761,0.000200761
123,2141.39,0.11616,0.10101,0.75834,0.99408,0.99369,0.99476,0.85082,0.64466,0.34895,0.85154,0.000199658,0.000199658,0.000199658
124,2158.57,0.11374,0.09817,0.75759,0.99408,0.9937,0.99476,0.84492,0.64045,0.33795,0.84975,0.000198555,0.000198555,0.000198555
125,2175.76,0.1165,0.10066,0.75783,0.99408,0.99373,0.99482,0.84673,0.63852,0.34623,0.8481,0.000197452,0.000197452,0.000197452
126,2192.92,0.1151,0.1005,0.75815,0.99408,0.99368,0.99482,0.84648,0.64369,0.33856,0.84956,0.000196349,0.000196349,0.000196349
127,2210.09,0.11559,0.09933,0.75845,0.99408,0.99366,0.99482,0.85073,0.64036,0.34175,0.85185,0.000195246,0.000195246,0.000195246
128,2227.25,0.11552,0.0997,0.7578,0.99408,0.99363,0.99482,0.84451,0.6444,0.33853,0.85253,0.000194143,0.000194143,0.000194143
129,2244.51,0.11535,0.10152,0.75762,0.99408,0.99353,0.99476,0.85242,0.65158,0.33407,0.85398,0.00019304,0.00019304,0.00019304
130,2261.67,0.1147,0.10001,0.75861,0.99408,0.99365,0.99476,0.84022,0.64113,0.35013,0.84988,0.000191937,0.000191937,0.000191937
131,2278.84,0.1146,0.1,0.75762,0.99408,0.99359,0.99476,0.84733,0.64426,0.34546,0.85053,0.000190834,0.000190834,0.000190834
132,2295.97,0.11378,0.09849,0.75749,0.99408,0.99377,0.99476,0.83962,0.64617,0.34726,0.85325,0.000189732,0.000189732,0.000189732
133,2313.16,0.11502,0.09838,0.75787,0.99408,0.99377,0.99476,0.849,0.64444,0.34095,0.85138,0.000188629,0.000188629,0.000188629
134,2330.41,0.11136,0.09663,0.75752,0.99408,0.99405,0.99476,0.84762,0.64058,0.34121,0.85052,0.000187526,0.000187526,0.000187526
135,2347.64,0.11395,0.09908,0.7573,0.99408,0.99389,0.99482,0.84821,0.64375,0.34629,0.85251,0.000186423,0.000186423,0.000186423
136,2364.75,0.11566,0.10113,0.75772,0.99408,0.99362,0.99488,0.8537,0.6463,0.34525,0.85254,0.00018532,0.00018532,0.00018532
137,2381.98,0.11465,0.10177,0.75833,0.99408,0.99365,0.99488,0.85009,0.64634,0.34459,0.85228,0.000184217,0.000184217,0.000184217
138,2399.17,0.11222,0.09961,0.75723,0.99408,0.99354,0.99494,0.85741,0.64209,0.34836,0.8514,0.000183114,0.000183114,0.000183114
