epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,4929.15,0.32245,0.21788,0.81164,0.99411,0.99912,0.99424,0.88097,0.54809,0.25362,0.81978,0.000382785,0.000382785,0.000382785
130,4967.17,0.30966,0.21082,0.80182,0.99299,1,0.99424,0.87626,0.57285,0.25874,0.82417,0.000380598,0.000380598,0.000380598
131,5005.01,0.32012,0.21246,0.80868,0.99412,0.99989,0.99394,0.87653,0.56869,0.25241,0.82254,0.000378411,0.000378411,0.000378411
132,5043.12,0.32064,0.21869,0.80632,0.99396,0.99408,0.99393,0.87717,0.54947,0.26223,0.82097,0.000376224,0.000376224,0.000376224
133,5081.16,0.31374,0.21242,0.80177,0.99408,0.99382,0.99423,0.87756,0.56806,0.25815,0.82535,0.000374037,0.000374037,0.000374037
134,5119.22,0.31421,0.21306,0.80536,0.99412,0.9998,0.99459,0.87595,0.55659,0.25719,0.82567,0.00037185,0.00037185,0.00037185
135,5157.13,0.31275,0.20827,0.80465,0.99412,0.99962,0.99441,0.87366,0.56074,0.26005,0.82317,0.000369663,0.000369663,0.000369663
136,5195.07,0.31311,0.21203,0.80595,0.99412,0.99977,0.99365,0.87619,0.55094,0.25018,0.82532,0.000367476,0.000367476,0.000367476
137,5233.05,0.31353,0.21141,0.80687,0.99412,0.99957,0.99359,0.87117,0.55851,0.25697,0.8228,0.000365289,0.000365289,0.000365289
138,5271.04,0.3082,0.21059,0.80707,0.99412,0.99981,0.99435,0.88026,0.55432,0.25197,0.82582,0.000363102,0.000363102,0.000363102
139,5309.14,0.31566,0.21138,0.8045,0.99412,0.99977,0.99341,0.88231,0.54141,0.24939,0.82135,0.000360915,0.000360915,0.000360915
140,5347.2,0.30844,0.20927,0.80505,0.99382,1,0.99365,0.88001,0.54918,0.24774,0.82151,0.000358728,0.000358728,0.000358728
141,5385.24,0.30326,0.2033,0.80452,0.99412,1,0.99418,0.87799,0.55306,0.25708,0.82196,0.000356542,0.000356542,0.000356542
142,5423.03,0.30272,0.20921,0.80269,0.99322,1,0.99471,0.87987,0.5459,0.24951,0.82119,0.000354355,0.000354355,0.000354355
143,5460.96,0.30714,0.20789,0.80652,0.99412,0.99967,0.99459,0.87945,0.55138,0.25458,0.82234,0.000352168,0.000352168,0.000352168
144,5498.97,0.30962,0.21108,0.81148,0.99412,0.99986,0.99459,0.88125,0.53313,0.2572,0.81902,0.000349981,0.000349981,0.000349981
145,5537.01,0.30691,0.21122,0.80777,0.99411,0.99866,0.99476,0.87314,0.54921,0.25283,0.82266,0.000347794,0.000347794,0.000347794
146,5574.89,0.29721,0.20726,0.80516,0.99331,1,0.99459,0.87437,0.54051,0.24533,0.82201,0.000345607,0.000345607,0.000345607
