epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1897.17,0.60124,0.31033,0.86382,0.99406,0.99408,0.99476,0.84601,0.61995,0.30199,0.81732,0.000111195,0.000111195,0.000111195
70,1924.32,0.57947,0.31145,0.86206,0.99408,0.99387,0.99488,0.85549,0.5847,0.29016,0.81626,0.000110722,0.000110722,0.000110722
71,1951.37,0.57404,0.30006,0.85415,0.99408,0.99373,0.99488,0.85117,0.60481,0.2972,0.81652,0.000110249,0.000110249,0.000110249
72,1978.43,0.56645,0.30372,0.85874,0.99408,0.99373,0.99494,0.85144,0.59538,0.29137,0.81747,0.000109776,0.000109776,0.000109776
73,2005.39,0.56419,0.30094,0.85663,0.99408,0.9938,0.99459,0.84774,0.60321,0.2944,0.81677,0.000109302,0.000109302,0.000109302
74,2032.32,0.57115,0.29977,0.85267,0.99408,0.99374,0.99494,0.84869,0.59351,0.29157,0.81643,0.000108829,0.000108829,0.000108829
75,2059.31,0.57584,0.30555,0.85771,0.99407,0.99408,0.99482,0.84994,0.61189,0.30059,0.81636,0.000108356,0.000108356,0.000108356
76,2086.39,0.57553,0.29863,0.85218,0.99408,0.99372,0.99494,0.85977,0.60069,0.30271,0.81576,0.000107883,0.000107883,0.000107883
77,2113.43,0.56317,0.29692,0.85687,0.99354,0.98817,0.99482,0.85336,0.60228,0.30354,0.81704,0.00010741,0.00010741,0.00010741
78,2140.57,0.57877,0.30029,0.86038,0.99408,0.99359,0.99488,0.8615,0.58683,0.29705,0.81476,0.000106937,0.000106937,0.000106937
79,2167.53,0.57835,0.30363,0.86078,0.99356,0.98817,0.99447,0.8525,0.59812,0.29494,0.81619,0.000106464,0.000106464,0.000106464
80,2194.61,0.56639,0.30021,0.85075,0.99354,0.98817,0.99465,0.85844,0.61248,0.30312,0.81821,0.000105991,0.000105991,0.000105991
81,2221.69,0.57732,0.3071,0.86173,0.9936,0.98817,0.99465,0.8563,0.58565,0.29372,0.81438,0.000105518,0.000105518,0.000105518
82,2248.77,0.58735,0.31358,0.85823,0.99359,0.98817,0.99476,0.84891,0.61435,0.29397,0.81751,0.000105044,0.000105044,0.000105044
83,2275.81,0.56324,0.30213,0.85753,0.9883,0.99938,0.99476,0.85072,0.6226,0.29714,0.81908,0.000104571,0.000104571,0.000104571
84,2302.94,0.56596,0.29181,0.86312,0.99408,0.99369,0.99494,0.84145,0.62659,0.29864,0.81923,0.000104098,0.000104098,0.000104098
85,2329.95,0.55903,0.30012,0.84986,0.99408,0.99385,0.99494,0.85183,0.6108,0.29775,0.81568,0.000103625,0.000103625,0.000103625
86,2357.05,0.56981,0.30036,0.85661,0.99408,0.99378,0.99488,0.8652,0.58333,0.28384,0.81423,0.000103152,0.000103152,0.000103152
87,2384.13,0.57365,0.3019,0.86071,0.98827,0.99744,0.99488,0.85631,0.59814,0.29077,0.81434,0.000102679,0.000102679,0.000102679
88,2411.09,0.56038,0.2934,0.85307,0.98825,0.9952,0.99488,0.85647,0.60967,0.29746,0.81517,0.000102206,0.000102206,0.000102206
89,2438.19,0.56035,0.29163,0.85517,0.99356,0.98817,0.99464,0.85668,0.60018,0.29456,0.81558,0.000101733,0.000101733,0.000101733
90,2465.3,0.56374,0.3009,0.85758,0.99408,0.99376,0.99488,0.86042,0.60421,0.28817,0.81587,0.00010126,0.00010126,0.00010126
91,2492.49,0.55808,0.29434,0.85213,0.99408,0.99372,0.9947,0.84895,0.616,0.28952,0.8173,0.000100786,0.000100786,0.000100786
92,2519.53,0.55753,0.29472,0.8525,0.99408,0.99373,0.99494,0.85076,0.61861,0.2902,0.8176,0.000100313,0.000100313,0.000100313
93,2546.57,0.56174,0.29559,0.85399,0.99408,0.99386,0.99494,0.84891,0.60701,0.29317,0.81633,9.98402e-05,9.98402e-05,9.98402e-05
94,2573.59,0.54593,0.28928,0.85099,0.99408,0.99368,0.99494,0.8537,0.60517,0.2929,0.81647,9.93671e-05,9.93671e-05,9.93671e-05
95,2600.57,0.5453,0.28846,0.85588,0.99408,0.99361,0.99488,0.8583,0.60272,0.28845,0.81656,9.8894e-05,9.8894e-05,9.8894e-05
96,2627.66,0.54829,0.29716,0.85481,0.99408,0.99376,0.99488,0.85547,0.59629,0.28718,0.81468,9.84209e-05,9.84209e-05,9.84209e-05
